uid,type,1,2,3,4,5,6,7,8,9,10
u00,pre,3,3,4,4,3,5,3,3,4,4
u01,pre,3,3,3,3,4,3,4,4,2,2
u02,pre,4,3,3,4,2,3,2,3,3,2
u03,pre,3,2,3,2,3,1,2,1,1,1
u04,pre,2,2,4,3,3,4,3,2,3,3
u05,pre,2,3,2,5,5,2,4,5,2,1
u07,pre,3,2,4,5,5,2,4,4,3,2
u08,pre,3,4,5,3,3,3,4,3,3,4
u09,pre,2,2,3,3,4,2,4,3,2,2
u10,pre,4,4,4,4,4,3,2,5,4,2
u12,pre,2,2,3,4,4,2,4,4,2,2
u13,pre,2,4,5,2,2,2,2,1,3,2
u14,pre,2,1,3,4,3,2,5,5,2,2
u15,pre,4,3,4,3,3,3,3,3,3,3
u16,pre,4,5,5,4,3,3,3,4,3,4
u17,pre,4,5,5,3,2,5,3,1,4,5
u18,pre,4,4,4,4,2,4,2,3,4,4
u19,pre,2,3,3,2,3,2,2,3,3,3
u20,pre,2,2,3,4,3,3,5,3,2,3
u22,pre,2,1,2,5,3,1,4,5,2,1
u23,pre,4,4,5,3,3,4,3,3,4,4
u24,pre,3,2,4,4,4,3,3,2,3,2
u27,pre,3,3,4,4,3,3,3,3,2,2
u30,pre,3,3,3,5,4,2,5,5,2,1
u31,pre,5,5,0,2,3,2,4,2,3,3
u32,pre,1,1,3,5,4,1,5,5,1,1
u33,pre,4,5,5,2,2,5,2,1,3,4
u34,pre,2,2,3,4,4,3,4,3,3,2
u35,pre,3,3,2,4,4,3,5,3,2,3
u36,pre,2,2,3,4,4,2,4,3,2,2
u42,pre,3,4,5,2,2,3,3,3,2,3
u43,pre,3,4,4,4,3,3,4,3,4,3
u44,pre,2,3,3,3,3,2,3,2,3,2
u45,pre,3,4,3,2,0,2,1,3,4,2
u46,pre,5,4,3,2,3,5,1,3,5,4
u47,pre,3,2,4,4,4,2,3,4,2,2
u49,pre,3,3,3,4,4,3,5,3,3,3
u50,pre,2,2,2,1,3,2,3,3,4,3
u51,pre,2,2,3,3,3,2,4,3,2,2
u52,pre,3,5,5,2,4,3,5,3,2,4
u53,pre,4,4,5,3,3,3,4,3,3,3
u54,pre,3,3,4,4,3,3,3,3,2,3
u56,pre,2,2,2,4,4,3,4,4,2,2
u57,pre,2,3,3,5,4,1,4,4,2,1
u58,pre,3,4,5,4,2,2,5,2,3,2
u59,pre,3,4,3,3,3,4,5,4,3,2
u00,post,2,3,3,4,3,3,4,3,2,2
u01,post,2,3,3,4,4,3,3,4,3,3
u02,post,3,3,5,4,3,5,3,3,4,4
u03,post,2,3,5,3,2,4,2,2,2,3
u04,post,3,2,5,4,3,2,4,3,2,3
u05,post,3,2,2,4,4,1,5,4,1,1
u07,post,3,4,5,4,2,4,2,2,4,4
u09,post,2,3,5,4,4,3,4,3,2,3
u10,post,3,2,4,5,4,3,3,5,3,3
u14,post,3,2,4,3,4,2,5,5,3,3
u15,post,2,2,3,4,4,1,4,3,3,1
u16,post,5,5,5,3,3,3,4,4,3,5
u17,post,4,5,5,3,2,5,2,1,5,4
u18,post,4,4,5,3,3,3,4,3,3,4
u19,post,4,4,5,4,4,3,3,4,3,3
u20,post,3,3,4,3,4,3,5,3,3,3
u23,post,4,3,4,4,3,3,3,3,4,3
u24,post,2,2,3,3,4,2,4,3,3,2
u27,post,3,3,5,3,3,4,3,3,3,3
u30,post,2,2,3,4,4,3,4,4,2,2
u31,post,4,3,2,2,2,3,3,1,2,1
u32,post,2,4,3,5,4,2,5,5,1,1
u33,post,4,5,5,2,2,5,2,2,3,5
u34,post,2,2,3,4,4,3,4,3,2,3
u35,post,2,3,3,3,3,2,4,3,2,3
u36,post,3,2,3,4,3,3,2,2,2,2
u42,post,2,3,2,3,3,2,3,3,2,2
u43,post,2,3,2,3,4,2,4,4,3,2
u44,post,3,3,3,3,3,3,3,2,3,2
u45,post,2,3,2,2,3,3,2,3,3,3
u46,post,4,3,5,3,2,5,3,3,5,5
u47,post,3,3,4,2,2,4,2,2,5,3
u49,post,2,2,3,4,5,1,4,5,2,2
u51,post,2,2,4,4,4,2,4,4,2,2
u52,post,3,5,5,2,4,4,2,2,3,5
u53,post,3,3,4,3,3,3,4,3,3,3
u54,post,5,5,4,3,3,3,4,1,3,3
u56,post,2,3,2,4,5,2,4,4,1,2
u59,post,3,3,3,4,4,3,4,4,2,1
