uid,type,1,2,3,4,5,6,7,8,9
u00,pre,1,2,1,2,1,1,1,1,1
u01,pre,2,2,2,2,1,2,1,1,1
u02,pre,3,2,3,3,3,2,2,3,1
u03,pre,1,2,1,1,1,1,1,2,1
u04,pre,2,2,1,2,2,2,2,1,1
u05,pre,1,1,2,1,2,1,1,1,1
u07,pre,2,2,1,2,3,2,2,1,1
u08,pre,2,2,1,1,2,2,2,1,1
u09,pre,1,1,2,2,2,1,2,1,1
u10,pre,1,1,1,1,1,1,1,1,1
u12,pre,1,1,1,2,1,1,1,1,1
u13,pre,1,2,1,2,2,2,1,1,1
u14,pre,1,1,1,2,1,1,1,1,1
u15,pre,2,1,1,2,2,1,1,1,1
u16,pre,2,2,2,1,1,4,1,1,1
u17,pre,2,2,4,4,4,2,1,2,1
u18,pre,3,3,2,3,3,4,2,1,3
u19,pre,2,2,1,1,2,2,1,1,2
u20,pre,2,2,2,2,2,2,2,2,1
u22,pre,1,2,2,1,1,2,1,1,1
u23,pre,2,3,2,3,2,3,3,1,1
u24,pre,2,2,2,2,2,1,1,1,1
u27,pre,1,1,3,2,1,1,3,1,1
u30,pre,1,1,2,1,1,1,1,1,1
u31,pre,3,2,2,2,2,3,2,2,3
u32,pre,1,1,3,2,2,1,1,1,1
u33,pre,4,4,4,4,4,4,4,3,1
u34,pre,1,1,2,1,2,2,1,1,1
u35,pre,2,2,2,2,2,2,2,1,1
u36,pre,2,1,1,2,1,1,1,1,1
u39,pre,1,1,1,2,1,2,1,2,1
u42,pre,1,1,1,1,1,1,2,1,1
u43,pre,2,2,2,2,2,2,2,1,1
u44,pre,1,1,1,2,1,1,1,1,1
u45,pre,2,2,3,2,2,2,1,1,1
u46,pre,3,2,3,2,2,3,2,1,1
u47,pre,3,2,1,1,1,1,3,1,1
u49,pre,1,1,1,2,2,1,1,1,1
u50,pre,1,2,1,3,2,2,1,2,2
u51,pre,1,1,1,2,1,1,1,1,1
u52,pre,2,2,4,4,4,2,1,1,1
u53,pre,2,2,3,3,2,1,2,1,1
u56,pre,1,1,1,3,1,1,1,1,1
u57,pre,1,1,1,1,1,1,1,1,1
u58,pre,2,2,1,1,2,1,2,2,1
u59,pre,1,1,2,3,2,1,1,2,1
u00,post,1,1,1,2,1,2,2,1,1
u01,post,1,2,2,2,1,1,1,2,1
u02,post,3,1,1,2,2,1,2,1,1
u03,post,2,2,1,2,1,2,1,1,1
u04,post,2,2,2,2,2,3,2,1,1
u05,post,1,1,1,1,1,1,1,1,1
u07,post,2,2,3,3,3,1,1,1,1
u09,post,1,1,1,1,2,2,1,1,1
u10,post,1,1,1,2,2,1,1,3,1
u14,post,1,1,2,2,2,1,1,1,1
u15,post,1,1,2,1,1,1,1,1,1
u16,post,2,3,3,4,3,3,1,1,1
u17,post,3,3,4,4,3,4,4,1,1
u18,post,3,3,2,3,3,2,2,1,2
u19,post,1,2,1,1,2,2,1,1,2
u20,post,2,3,2,2,2,3,1,1,1
u23,post,3,4,4,3,3,4,3,3,3
u24,post,3,2,1,2,2,2,2,1,1
u27,post,2,2,1,3,1,2,3,1,1
u30,post,1,1,1,1,1,1,1,1,1
u31,post,4,1,1,1,1,1,2,2,1
u32,post,1,1,2,2,1,1,1,1,1
u33,post,4,4,4,4,4,4,4,4,2
u34,post,2,1,2,2,2,1,3,1,1
u35,post,2,2,1,2,2,2,2,2,1
u36,post,1,1,1,2,1,1,1,1,1
u42,post,1,1,1,1,1,1,1,1,1
u43,post,1,1,2,2,2,1,2,1,1
u44,post,2,1,1,2,1,1,1,1,1
u45,post,1,1,2,1,1,1,2,1,1
u47,post,1,1,1,1,1,1,1,2,1
u49,post,4,1,3,3,2,1,1,1,1
u51,post,1,1,1,1,1,1,1,1,1
u52,post,2,4,4,3,4,2,1,2,2
u53,post,1,2,4,3,4,1,3,1,1
u56,post,1,1,1,3,1,1,2,1,1
u58,post,1,2,1,3,3,2,2,2,1
u59,post,1,1,3,3,2,1,2,2,1
